dynamical_F_subnet_args_output_dim,dynamical_F_subnet_args_layers_num,solution_u_args_layers_num,dynamical_F_args_hidden_dim,dynamical_F_subnet_args_hidden_dim,spinn_enabled_dynamical_F,model_id,solution_u_args_hidden_dim,dynamical_F_subnet_args_activation,solution_u_subnet_args_hidden_dim,dynamical_F_args_dropout,solution_u_subnet_args_layers_num,dynamical_F_args_layers_num,solution_u_subnet_args_dropout,dynamical_F_subnet_args_dropout,num_params,solution_u_args_dropout,solution_u_subnet_args_activation,spinn_enabled_solution_u,dynamical_F_args_activation,solution_u_args_activation,solution_u_subnet_args_output_dim,mean_MAE,mean_MAPE,mean_RMSE
-1.0,-1.0,-1.0,20.0,-1.0,False,87,-1.0,-1,15.0,0.0,5.0,2.0,0.0,-1.0,16228,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.007917780429124832,0.8595179,0.01080387115107402
-1.0,-1.0,-1.0,20.0,-1.0,False,114,-1.0,-1,15.0,0.0,5.0,3.0,0.0,-1.0,16648,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.00815136288292706,0.8830119,0.01086607139636841
-1.0,-1.0,-1.0,20.0,-1.0,False,143,-1.0,-1,23.0,0.0,3.0,5.0,0.0,-1.0,18304,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.007900093294059237,0.8556761,0.010898235069620022
-1.0,-1.0,-1.0,40.0,-1.0,False,95,-1.0,-1,15.0,0.0,3.0,2.0,0.0,-1.0,8808,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.008068666327744722,0.870348,0.010905378788339568
5.0,3.0,-1.0,-1.0,8.0,True,38,-1.0,leaky-relu,15.0,-1.0,3.0,-1.0,0.0,0.0,12017,-1.0,leaky-relu,True,-1,-1,10.0,0.007992033148184419,0.8658287,0.010914571295616014
-1.0,-1.0,-1.0,60.0,-1.0,False,128,-1.0,-1,8.0,0.0,3.0,3.0,0.0,-1.0,8159,-1.0,leaky-relu,True,leaky-relu,-1,5.0,0.008116343369086584,0.87618375,0.01092393428394503
-1.0,-1.0,-1.0,20.0,-1.0,False,111,-1.0,-1,8.0,0.0,5.0,3.0,0.0,-1.0,5887,-1.0,leaky-relu,True,leaky-relu,-1,5.0,0.008067723286027709,0.87240535,0.01094390017258086
-1.0,-1.0,-1.0,20.0,-1.0,False,144,-1.0,-1,23.0,0.0,5.0,5.0,0.0,-1.0,37072,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.008008923303956786,0.87008405,0.010947645127904965
-1.0,-1.0,-1.0,60.0,-1.0,False,131,-1.0,-1,15.0,0.0,3.0,3.0,0.0,-1.0,13208,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.007819503700981537,0.84867305,0.010947982930595254
15.0,2.0,-1.0,-1.0,23.0,True,70,-1.0,leaky-relu,23.0,-1.0,3.0,-1.0,0.0,0.0,30548,-1.0,leaky-relu,True,-1,-1,15.0,0.008014460715154806,0.8665986,0.010963229176038003
-1.0,-1.0,-1.0,60.0,-1.0,False,104,-1.0,-1,15.0,0.0,3.0,2.0,0.0,-1.0,9548,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.007909980059290925,0.859155,0.01097321059825178
-1.0,-1.0,-1.0,20.0,-1.0,False,110,-1.0,-1,8.0,0.0,3.0,3.0,0.0,-1.0,3439,-1.0,leaky-relu,True,leaky-relu,-1,5.0,0.007881214066098133,0.8530274,0.011050338104274462
5.0,3.0,-1.0,-1.0,8.0,True,74,-1.0,leaky-relu,23.0,-1.0,5.0,-1.0,0.0,0.0,39761,-1.0,leaky-relu,True,-1,-1,15.0,0.008207075608273348,0.8903752,0.011065346101338344
10.0,3.0,-1.0,-1.0,15.0,True,14,-1.0,leaky-relu,8.0,-1.0,3.0,-1.0,0.0,0.0,17363,-1.0,leaky-relu,True,-1,-1,5.0,0.008059695518265167,0.87432784,0.011079683871254152
-1.0,-1.0,-1.0,20.0,-1.0,False,138,-1.0,-1,8.0,0.0,5.0,5.0,0.0,-1.0,6727,-1.0,leaky-relu,True,leaky-relu,-1,5.0,0.008174375398084521,0.88664865,0.011083521328575383
-1.0,-1.0,-1.0,20.0,-1.0,False,89,-1.0,-1,23.0,0.0,3.0,2.0,0.0,-1.0,17044,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.008227102225646377,0.8895158,0.01108767149540047
5.0,2.0,-1.0,-1.0,8.0,True,19,-1.0,leaky-relu,8.0,-1.0,5.0,-1.0,0.0,0.0,6896,-1.0,leaky-relu,True,-1,-1,5.0,0.007939845401172837,0.8642215,0.011088362795277988
