spinn_enabled_solution_u,spinn_enabled_dynamical_F,solution_u_subnet_args_output_dim,solution_u_subnet_args_layers_num,solution_u_subnet_args_hidden_dim,solution_u_subnet_args_dropout,solution_u_subnet_args_activation,dynamical_F_subnet_args_output_dim,dynamical_F_subnet_args_layers_num,dynamical_F_subnet_args_hidden_dim,dynamical_F_subnet_args_dropout,dynamical_F_subnet_args_activation,model_id,num_params,MAE,MAPE,RMSE,batch,solution_u_args_layers_num,solution_u_args_hidden_dim,solution_u_args_dropout,solution_u_args_activation,dynamical_F_args_layers_num,dynamical_F_args_hidden_dim,dynamical_F_args_dropout,dynamical_F_args_activation
True,True,5.0,5.0,8.0,0.0,leaky-relu,15.0,2.0,23.0,0.0,leaky-relu,25,18971,0.004865072201937437,0.5340147,0.00655856519941951,0-0,,,,,,,,
True,False,5.0,3.0,8.0,0.0,leaky-relu,,,,,,155,15479,0.0046915472485125065,0.51242673,0.0065784462640927155,0-0,,,,,5.0,60.0,0.0,leaky-relu
True,False,15.0,3.0,23.0,0.0,leaky-relu,,,,,,98,17784,0.004981434904038906,0.5414731,0.00658475010218052,0-0,,,,,2.0,40.0,0.0,leaky-relu
True,False,10.0,5.0,15.0,0.0,leaky-relu,,,,,,114,16648,0.004825476091355085,0.5259008,0.006600862137369943,0-0,,,,,3.0,20.0,0.0,leaky-relu
False,True,,,,,,15.0,5.0,23.0,0.0,leaky-relu,234,77886,0.0044387876987457275,0.49281284,0.006624182808912577,0-0,5.0,40.0,0.0,leaky-relu,,,,
True,True,5.0,5.0,8.0,0.0,leaky-relu,10.0,2.0,15.0,0.0,leaky-relu,22,11411,0.004952332470566034,0.54464257,0.006637782608764172,0-0,,,,,,,,
True,False,5.0,5.0,8.0,0.0,leaky-relu,,,,,,138,6727,0.004726765211671591,0.5235977,0.006657443231187213,0-0,,,,,5.0,20.0,0.0,leaky-relu
True,False,10.0,2.0,15.0,0.0,leaky-relu,,,,,,157,16448,0.0050626783631742,0.54892695,0.00669947159186791,0-0,,,,,5.0,60.0,0.0,leaky-relu
True,False,15.0,3.0,23.0,0.0,leaky-relu,,,,,,89,17044,0.005233739968389273,0.5689669,0.006705799457342138,0-0,,,,,2.0,20.0,0.0,leaky-relu
True,True,10.0,3.0,15.0,0.0,leaky-relu,5.0,2.0,8.0,0.0,leaky-relu,37,9497,0.004959590267390013,0.54538345,0.006728469076985268,0-0,,,,,,,,
True,True,5.0,5.0,8.0,0.0,leaky-relu,5.0,2.0,8.0,0.0,leaky-relu,19,6896,0.00502322381362319,0.55205333,0.006744800097420049,0-0,,,,,,,,
True,False,10.0,3.0,15.0,0.0,leaky-relu,,,,,,86,8068,0.0051748608238995075,0.56283396,0.006763375416790069,0-0,,,,,2.0,20.0,0.0,leaky-relu
True,False,15.0,3.0,23.0,0.0,leaky-relu,,,,,,143,18304,0.005093807820230722,0.5553763,0.006776145335603869,0-0,,,,,5.0,20.0,0.0,leaky-relu
True,False,10.0,3.0,15.0,0.0,leaky-relu,,,,,,122,10448,0.005096659529954195,0.55601907,0.006783848410506775,0-0,,,,,3.0,40.0,0.0,leaky-relu
True,True,10.0,2.0,15.0,0.0,leaky-relu,5.0,2.0,8.0,0.0,leaky-relu,28,5417,0.005013360176235437,0.54601574,0.006802248910942778,0-0,,,,,,,,
True,True,5.0,5.0,8.0,0.0,leaky-relu,5.0,3.0,8.0,0.0,leaky-relu,20,9416,0.005260804668068886,0.5758994,0.00685472493113511,0-0,,,,,,,,
False,True,,,,,,5.0,3.0,8.0,0.0,leaky-relu,209,9491,0.004848454147577286,0.52702683,0.006888909183653874,0-0,3.0,60.0,0.0,leaky-relu,,,,
True,True,5.0,5.0,8.0,0.0,leaky-relu,15.0,3.0,23.0,0.0,leaky-relu,26,38291,0.004791426006704569,0.5258669,0.006904786460479252,0-0,,,,,,,,
True,True,15.0,5.0,23.0,0.0,leaky-relu,5.0,3.0,8.0,0.0,leaky-relu,74,39761,0.0052301324903965,0.57404023,0.006909592021392393,0-0,,,,,,,,
True,False,15.0,3.0,23.0,0.0,leaky-relu,,,,,,161,29504,0.005245387554168701,0.5680855,0.006921637053730958,0-0,,,,,5.0,60.0,0.0,leaky-relu
True,False,5.0,5.0,8.0,0.0,leaky-relu,,,,,,156,17927,0.005286726634949446,0.56965744,0.006942035827056027,0-0,,,,,5.0,60.0,0.0,leaky-relu
True,False,15.0,3.0,23.0,0.0,leaky-relu,,,,,,116,17464,0.005196715705096722,0.5647822,0.006970977511828136,0-0,,,,,3.0,20.0,0.0,leaky-relu
False,True,,,,,,5.0,5.0,8.0,0.0,leaky-relu,237,21851,0.004731474909931421,0.524096,0.006971828898880202,0-0,5.0,60.0,0.0,leaky-relu,,,,
True,True,5.0,3.0,8.0,0.0,leaky-relu,10.0,5.0,15.0,0.0,leaky-relu,15,34163,0.005440836306661367,0.59730357,0.0069888476126736005,0-0,,,,,,,,
True,True,10.0,3.0,15.0,0.0,leaky-relu,15.0,5.0,23.0,0.0,leaky-relu,45,79532,0.005228578578680754,0.5696344,0.007134776584773205,0-0,,,,,,,,
True,True,10.0,3.0,15.0,0.0,leaky-relu,5.0,5.0,8.0,0.0,leaky-relu,39,17057,0.005061513278633356,0.551014,0.007179326889182878,0-0,,,,,,,,
False,True,,,,,,15.0,3.0,23.0,0.0,leaky-relu,242,45686,0.004927351139485836,0.54327834,0.0071947165003972404,0-0,5.0,60.0,0.0,leaky-relu,,,,
True,False,10.0,3.0,15.0,0.0,leaky-relu,,,,,,158,20528,0.005364065524190664,0.58075094,0.00720163268731887,0-0,,,,,5.0,60.0,0.0,leaky-relu
True,False,10.0,3.0,15.0,0.0,leaky-relu,,,,,,131,13208,0.00558073865249753,0.6026371,0.007204791014595768,0-0,,,,,3.0,60.0,0.0,leaky-relu
False,True,,,,,,5.0,5.0,8.0,0.0,leaky-relu,210,14531,0.005186085589230061,0.5619661,0.007262029475991962,0-0,3.0,60.0,0.0,leaky-relu,,,,
True,False,15.0,3.0,23.0,0.0,leaky-relu,,,,,,134,22184,0.005753165576606989,0.6224184,0.007275468040620872,0-0,,,,,3.0,60.0,0.0,leaky-relu
True,False,10.0,2.0,15.0,0.0,leaky-relu,,,,,,112,4408,0.005565604194998741,0.6086412,0.0073320287549243765,0-0,,,,,3.0,20.0,0.0,leaky-relu
True,False,10.0,2.0,15.0,0.0,leaky-relu,,,,,,94,4728,0.005460673943161964,0.5932374,0.00733806820620426,0-0,,,,,2.0,40.0,0.0,leaky-relu
False,True,,,,,,15.0,2.0,23.0,0.0,leaky-relu,241,26366,0.005010936409235001,0.5562024,0.00734813926550708,0-0,5.0,60.0,0.0,leaky-relu,,,,
True,False,15.0,2.0,23.0,0.0,leaky-relu,,,,,,97,8400,0.005593754351139069,0.6078873,0.007399067786826486,0-0,,,,,2.0,40.0,0.0,leaky-relu
True,False,5.0,2.0,8.0,0.0,leaky-relu,,,,,,127,6935,0.0055768294259905815,0.608728,0.007406932710487493,0-0,,,,,3.0,60.0,0.0,leaky-relu
False,True,,,,,,5.0,2.0,8.0,0.0,leaky-relu,226,7851,0.005095161497592926,0.56145257,0.007478801791963059,0-0,5.0,40.0,0.0,leaky-relu,,,,
True,True,10.0,5.0,15.0,0.0,leaky-relu,5.0,2.0,8.0,0.0,leaky-relu,46,17657,0.0063453372567892075,0.6866448,0.007478875487066783,0-0,,,,,,,,
False,True,,,,,,15.0,5.0,23.0,0.0,leaky-relu,207,74606,0.005795939825475216,0.62707335,0.007520363404778912,0-0,3.0,40.0,0.0,leaky-relu,,,,
True,True,5.0,2.0,8.0,0.0,leaky-relu,5.0,3.0,8.0,0.0,leaky-relu,2,5744,0.0056654610671103,0.61483455,0.007547957181500038,0-0,,,,,,,,
True,True,5.0,3.0,8.0,0.0,leaky-relu,15.0,3.0,23.0,0.0,leaky-relu,17,35843,0.005418810527771711,0.59213436,0.007564777922773565,0-0,,,,,,,,
True,False,5.0,2.0,8.0,0.0,leaky-relu,,,,,,100,3275,0.006123504135757685,0.6645006,0.007643619151414421,0-0,,,,,2.0,60.0,0.0,leaky-relu
False,True,,,,,,15.0,5.0,23.0,0.0,leaky-relu,216,77006,0.005604431498795748,0.60978675,0.007656741245874454,0-0,3.0,60.0,0.0,leaky-relu,,,,
True,True,15.0,2.0,23.0,0.0,leaky-relu,15.0,5.0,23.0,0.0,leaky-relu,63,79124,0.005623701028525829,0.6113082,0.007688151601163251,0-0,,,,,,,,
False,True,,,,,,10.0,5.0,15.0,0.0,leaky-relu,240,44006,0.005081423092633486,0.5614694,0.007719525811370733,0-0,5.0,60.0,0.0,leaky-relu,,,,
True,True,15.0,2.0,23.0,0.0,leaky-relu,10.0,3.0,15.0,0.0,leaky-relu,59,22004,0.005588044412434101,0.60912,0.007735932832516689,0-0,,,,,,,,
True,True,10.0,2.0,15.0,0.0,leaky-relu,15.0,3.0,23.0,0.0,leaky-relu,35,36812,0.005639577750116587,0.6135005,0.007745623029897449,0-0,,,,,,,,
True,False,15.0,2.0,23.0,0.0,leaky-relu,,,,,,88,7660,0.005744505673646927,0.61965,0.007801464648369543,0-0,,,,,2.0,20.0,0.0,leaky-relu
True,False,15.0,2.0,23.0,0.0,leaky-relu,,,,,,124,10040,0.005852885078638792,0.6335781,0.00782133976943361,0-0,,,,,3.0,40.0,0.0,leaky-relu
True,False,15.0,3.0,23.0,0.0,leaky-relu,,,,,,152,22704,0.005713119637221098,0.6211293,0.00785489194635391,0-0,,,,,5.0,40.0,0.0,leaky-relu
True,True,15.0,3.0,23.0,0.0,leaky-relu,15.0,3.0,23.0,0.0,leaky-relu,71,49868,0.006245865020900965,0.67897105,0.007898914478636075,0-0,,,,,,,,
True,True,15.0,3.0,23.0,0.0,leaky-relu,10.0,5.0,15.0,0.0,leaky-relu,69,48188,0.006092391908168793,0.6600208,0.007914401058967433,0-0,,,,,,,,
False,True,,,,,,5.0,3.0,8.0,0.0,leaky-relu,227,10371,0.005613763350993395,0.6183794,0.007933472594108962,0-0,5.0,40.0,0.0,leaky-relu,,,,
False,True,,,,,,15.0,2.0,23.0,0.0,leaky-relu,232,19926,0.005199812352657318,0.5821827,0.007946118790430298,0-0,5.0,40.0,0.0,leaky-relu,,,,
True,False,15.0,2.0,23.0,0.0,leaky-relu,,,,,,151,13320,0.00617411732673645,0.66590834,0.008053858142874097,0-0,,,,,5.0,40.0,0.0,leaky-relu
False,True,,,,,,5.0,3.0,8.0,0.0,leaky-relu,236,16811,0.00538084888830781,0.59481865,0.008055924885919798,0-0,5.0,60.0,0.0,leaky-relu,,,,
True,True,10.0,3.0,15.0,0.0,leaky-relu,10.0,2.0,15.0,0.0,leaky-relu,40,14012,0.005813910160213709,0.64012694,0.008112101505314023,0-0,,,,,,,,
True,False,10.0,3.0,15.0,0.0,leaky-relu,,,,,,95,8808,0.0064279972575604916,0.6901606,0.00818444298463778,0-0,,,,,2.0,40.0,0.0,leaky-relu
True,True,15.0,3.0,23.0,0.0,leaky-relu,15.0,2.0,23.0,0.0,leaky-relu,70,30548,0.0056870789267122746,0.6221414,0.008200553117630025,0-0,,,,,,,,
False,True,,,,,,5.0,2.0,8.0,0.0,leaky-relu,208,6971,0.005650455132126808,0.61419296,0.008200880063495208,0-0,3.0,60.0,0.0,leaky-relu,,,,
True,False,10.0,2.0,15.0,0.0,leaky-relu,,,,,,103,5468,0.006428394000977278,0.6951758,0.008208085976829267,0-0,,,,,2.0,60.0,0.0,leaky-relu
False,True,,,,,,5.0,3.0,8.0,0.0,leaky-relu,200,7091,0.005500732455402613,0.60463846,0.008235270556272347,0-0,3.0,40.0,0.0,leaky-relu,,,,
False,True,,,,,,5.0,5.0,8.0,0.0,leaky-relu,201,12131,0.00609193742275238,0.6592774,0.008247866426266067,0-0,3.0,40.0,0.0,leaky-relu,,,,
True,False,5.0,3.0,8.0,0.0,leaky-relu,,,,,,119,5399,0.006379676051437855,0.691421,0.00829090423096343,0-0,,,,,3.0,40.0,0.0,leaky-relu
True,True,15.0,3.0,23.0,0.0,leaky-relu,5.0,3.0,8.0,0.0,leaky-relu,65,20993,0.0063786315731704235,0.6862261,0.008296865265326662,0-0,,,,,,,,
True,True,15.0,3.0,23.0,0.0,leaky-relu,10.0,3.0,15.0,0.0,leaky-relu,68,31388,0.006232052575796843,0.6741932,0.008331898782947312,0-0,,,,,,,,
False,True,,,,,,15.0,3.0,23.0,0.0,leaky-relu,206,35966,0.005615618079900742,0.621134,0.008363091500372266,0-0,3.0,40.0,0.0,leaky-relu,,,,
True,False,10.0,2.0,15.0,0.0,leaky-relu,,,,,,85,3988,0.005854043178260326,0.64029276,0.008380559985092368,0-0,,,,,2.0,20.0,0.0,leaky-relu
True,False,15.0,2.0,23.0,0.0,leaky-relu,,,,,,106,9140,0.006009303033351898,0.6569725,0.008451547236991,0-0,,,,,2.0,60.0,0.0,leaky-relu
True,False,10.0,3.0,15.0,0.0,leaky-relu,,,,,,149,13728,0.006213672924786806,0.6733624,0.008484393128711387,0-0,,,,,5.0,40.0,0.0,leaky-relu
True,True,5.0,2.0,8.0,0.0,leaky-relu,10.0,3.0,15.0,0.0,leaky-relu,5,16139,0.006455590948462486,0.6993101,0.008506734274865542,0-0,,,,,,,,
True,True,15.0,2.0,23.0,0.0,leaky-relu,5.0,3.0,8.0,0.0,leaky-relu,56,11609,0.006540763657540083,0.7032153,0.008564235369541267,0-0,,,,,,,,
True,True,15.0,3.0,23.0,0.0,leaky-relu,10.0,2.0,15.0,0.0,leaky-relu,67,22988,0.0063502611592411995,0.6923617,0.00866220654413756,0-0,,,,,,,,
