batch,output_dim,hidden_dim,num_layer,dropout,num_param,MAE,MAPE,RMSE
5-5,10,15,5,0.0,21368,0.005540069658309221,0.6068073,0.010038330372296539
5-5,6,9,2,0.1,7224,0.00714052002876997,0.7712879,0.01020350265833159
5-5,15,23,2,0.0,12800,0.00706995977088809,0.7650169,0.01030591634792924
5-5,10,15,2,0.2,9128,0.0062199924141168594,0.6787368,0.010357362515707258
5-5,15,23,3,0.0,22184,0.0060056098736822605,0.6540215,0.010369119061052236
5-5,3,5,2,0.1,6374,0.006472218781709671,0.7028475,0.0103964662899519
5-5,15,23,2,0.1,12800,0.006601683329790831,0.71804035,0.01049332769081287
5-5,6,9,2,0.0,7224,0.006856396794319153,0.7440617,0.01057402842887296
5-5,10,15,2,0.1,9128,0.006731813307851553,0.73058295,0.010688938640719896
5-5,3,5,5,0.0,7904,0.006560221780091524,0.7106327,0.010724116495308881
5-5,3,5,2,0.0,6374,0.008135894313454628,0.87797505,0.011175238815235078
5-5,1,2,2,0.1,6017,0.008706283755600452,0.9361075,0.01158000977655727
5-5,6,9,5,0.0,11814,0.007583674509078264,0.82561684,0.01199148978112536
5-5,3,5,2,0.2,6374,0.007453541737049818,0.81860375,0.012463408188967627
5-5,1,2,2,0.0,6017,0.00853964127600193,0.9326142,0.014047184359153453
5-5,1,2,2,0.2,6017,0.013125408440828323,1.3971032,0.015732160244322554
5-5,15,23,3,0.1,22184,0.015333902090787888,1.6511443,0.020051863194883873
5-5,10,15,3,0.1,13208,0.014154442586004734,1.5164778,0.0206730738920299
5-5,6,9,3,0.1,8754,0.015191999264061451,1.630652,0.021560135745011023
5-5,15,23,3,0.2,22184,0.01603304035961628,1.7357448,0.02314128299646313
5-5,10,15,3,0.2,13208,0.014472401700913906,1.577114,0.024109345443803887
5-5,6,9,3,0.2,8754,0.017111044377088547,1.8589579,0.02520553359366905
5-5,3,5,5,0.1,7904,0.02017032541334629,2.1437387,0.026225508528364163
5-5,3,5,3,0.1,6884,0.021539948880672455,2.2739027,0.02808209336074039
5-5,1,2,3,0.2,6119,0.01916688308119774,2.0693119,0.028131617861891785
5-5,-1,-1,-1,-1.0,13662,0.02097412757575512,2.264247,0.02886659231204671
5-5,15,23,5,0.2,40952,0.022970380261540413,2.4552264,0.030620235395134917
5-5,6,9,5,0.2,11814,0.02360455133020878,2.5437577,0.03206028995707273
5-5,6,9,5,0.1,11814,0.024428002536296844,2.6353595,0.0321350731627155
5-5,3,5,3,0.2,6884,0.02299804426729679,2.484676,0.03218961895639058
5-5,15,23,5,0.1,40952,0.026109568774700165,2.7905686,0.0325743287290827
5-5,1,2,3,0.1,6119,0.02543836459517479,2.7421257,0.032624859321659073
5-5,10,15,5,0.1,21368,0.02450869046151638,2.6607094,0.0327529898340708
5-5,3,5,5,0.2,7904,0.02366548590362072,2.5830162,0.03482049980459832
5-5,1,2,5,0.1,6323,0.026948802173137665,2.8951185,0.035533557548195864
5-5,1,2,5,0.2,6323,0.026955818757414818,2.897165,0.03558893309420323
5-5,10,15,5,0.2,21368,0.027023043483495712,2.918932,0.03592928061614683
