spinn_enabled_solution_u,spinn_enabled_dynamical_F,solution_u_subnet_args_output_dim,solution_u_subnet_args_layers_num,solution_u_subnet_args_hidden_dim,solution_u_subnet_args_dropout,solution_u_subnet_args_activation,dynamical_F_args_layers_num,dynamical_F_args_hidden_dim,dynamical_F_args_dropout,dynamical_F_args_activation,model_id,num_params,MAE,MAPE,RMSE,batch,dynamical_F_subnet_args_output_dim,dynamical_F_subnet_args_layers_num,dynamical_F_subnet_args_hidden_dim,dynamical_F_subnet_args_dropout,dynamical_F_subnet_args_activation,solution_u_args_layers_num,solution_u_args_hidden_dim,solution_u_args_dropout,solution_u_args_activation
False,True,,,,,,,,,,240,44006,0.0050814230926334,0.5614694,0.0077195258113707,0-0,10.0,5.0,15.0,0.0,leaky-relu,5.0,60.0,0.0,leaky-relu
True,True,15.0,2.0,23.0,0.0,leaky-relu,,,,,59,22004,0.0055880444124341,0.60912,0.0077359328325166,0-0,10.0,3.0,15.0,0.0,leaky-relu,,,,
True,True,10.0,2.0,15.0,0.0,leaky-relu,,,,,35,36812,0.0056395777501165,0.6135005,0.0077456230298974,0-0,15.0,3.0,23.0,0.0,leaky-relu,,,,
True,False,15.0,2.0,23.0,0.0,leaky-relu,2.0,20.0,0.0,leaky-relu,88,7660,0.0057445056736469,0.61965,0.0078014646483695,0-0,,,,,,,,,
True,False,15.0,2.0,23.0,0.0,leaky-relu,3.0,40.0,0.0,leaky-relu,124,10040,0.0058528850786387,0.6335781,0.0078213397694336,0-0,,,,,,,,,
True,False,15.0,3.0,23.0,0.0,leaky-relu,5.0,40.0,0.0,leaky-relu,152,22704,0.005713119637221,0.6211293,0.0078548919463539,0-0,,,,,,,,,
True,True,15.0,3.0,23.0,0.0,leaky-relu,,,,,71,49868,0.0062458650209009,0.67897105,0.007898914478636,0-0,15.0,3.0,23.0,0.0,leaky-relu,,,,
True,True,15.0,3.0,23.0,0.0,leaky-relu,,,,,69,48188,0.0060923919081687,0.6600208,0.0079144010589674,0-0,10.0,5.0,15.0,0.0,leaky-relu,,,,
False,True,,,,,,,,,,227,10371,0.0056137633509933,0.6183794,0.0079334725941089,0-0,5.0,3.0,8.0,0.0,leaky-relu,5.0,40.0,0.0,leaky-relu
False,True,,,,,,,,,,232,19926,0.0051998123526573,0.5821827,0.0079461187904302,0-0,15.0,2.0,23.0,0.0,leaky-relu,5.0,40.0,0.0,leaky-relu
True,False,15.0,2.0,23.0,0.0,leaky-relu,5.0,40.0,0.0,leaky-relu,151,13320,0.0061741173267364,0.66590834,0.008053858142874,0-0,,,,,,,,,
